Fecha,TCR1
19/1/2009,7.77250,7.77250
20/1/2009,7.77684,7.77684
21/1/2009,7.81753,7.81753
22/1/2009,7.84121,7.84121
23/1/2009,7.86568,7.86568
24/1/2009,7.86568,7.86568
25/1/2009,7.86568,7.86568
26/1/2009,7.88613,7.88613
27/1/2009,7.89836,7.89836
28/1/2009,7.91788,7.91788
29/1/2009,7.93427,7.93427
30/1/2009,7.95085,7.95085
31/1/2009,7.95085,7.95085
1/2/2009,7.95085,7.95085
2/2/2009,7.93934,7.93934
3/2/2009,7.92178,7.92178
4/2/2009,7.89719,7.89719
5/2/2009,7.90424,7.90424
6/2/2009,7.92388,7.92388
7/2/2009,7.92388,7.92388
8/2/2009,7.92388,7.92388
9/2/2009,7.92886,7.92886
10/2/2009,7.91594,7.91594
11/2/2009,7.89353,7.89353
12/2/2009,7.90267,7.90267
13/2/2009,7.90735,7.90735
14/2/2009,7.90735,7.90735
15/2/2009,7.90735,7.90735
16/2/2009,7.91140,7.91140
17/2/2009,7.90929,7.90929
18/2/2009,7.92242,7.92242
19/2/2009,7.94226,7.94226
20/2/2009,7.95609,7.95609
21/2/2009,7.95609,7.95609
22/2/2009,7.95609,7.95609
23/2/2009,7.96936,7.96936
24/2/2009,7.98886,7.98886
25/2/2009,8.01579,8.01579
26/2/2009,8.04791,8.04791
27/2/2009,8.04852,8.04852
28/2/2009,8.04852,8.04852
1/3/2009,8.04852,8.04852
2/3/2009,8.00291,8.00291
3/3/2009,8.00596,8.00596
4/3/2009,7.99783,7.99783
5/3/2009,8.01118,8.01118
6/3/2009,8.03068,8.03068
7/3/2009,8.03068,8.03068
8/3/2009,8.03068,8.03068
9/3/2009,8.04336,8.04336
10/3/2009,8.04096,8.04096
11/3/2009,8.04986,8.04986
12/3/2009,8.05572,8.05572
13/3/2009,8.08156,8.08156
14/3/2009,8.08156,8.08156
15/3/2009,8.08156,8.08156
16/3/2009,8.08372,8.08372
17/3/2009,8.07908,8.07908
18/3/2009,8.10718,8.10718
19/3/2009,8.09288,8.09288
20/3/2009,8.06570,8.06570
21/3/2009,8.06570,8.06570
22/3/2009,8.06570,8.06570
23/3/2009,8.09551,8.09551
24/3/2009,8.11495,8.11495
25/3/2009,8.12727,8.12727
26/3/2009,8.13952,8.13952
27/3/2009,8.13281,8.13281
28/3/2009,8.13281,8.13281
29/3/2009,8.13281,8.13281
